time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-07-31T08:24:41.700Z,40.2188333,-121.1705,2.76,1.75,md,17,71,0.03465,0.12,nc,nc73918636,2023-07-31T20:05:18.666Z,"1 km ENE of Almanor, CA",earthquake,0.35,0.35,0.233,15,reviewed,nc,nc
2023-07-31T07:26:45.750Z,43.5741666666667,-110.898666666667,2.3,1.88,ml,7,135,0.09446,0.26,mb,mb90022913,2023-07-31T15:12:16.160Z,"5 km WSW of Teton Village, Wyoming",earthquake,1.2,3.01,0.143021510985341,18,reviewed,mb,mb
2023-07-31T06:45:13.668Z,31.65825149,-104.4601521,6.080151367,2.3,ml,15,79,0.02406582878,0.2,tx,tx2023owan,2023-07-31T13:39:03.506Z,"57 km S of Whites City, New Mexico",earthquake,1.72762221,0.9787074767,0.1,9,reviewed,tx,tx
2023-07-31T05:07:32.219Z,31.22044957,-103.7820226,5.46315918,2.4,ml,26,68,0.1306619514,0.2,tx,tx2023ovxh,2023-07-31T16:34:32.815Z,"10 km S of Toyah, Texas",earthquake,0.9723104614,1.547202892,0,7,reviewed,tx,tx
2023-07-31T04:33:59.850Z,36.2418333333333,-89.4645,5.17,1.59,md,11,65,0.03749,0.17,nm,nm60500968,2023-08-14T12:18:15.880Z,"3 km SE of Ridgely, Tennessee",earthquake,0.45,1.02,0.0639440255182195,8,reviewed,nm,nm
2023-07-31T03:47:04.700Z,45.59283333333333,-124.65,8.08,1.7,ml,7,307,0.5592,0.19,uw,uw61936427,2023-07-31T11:17:06.201Z,"55 km WNW of Cape Meares, Oregon",earthquake,4.27,15.95,0.2016631081734317,5,reviewed,uw,uw
2023-07-31T02:46:39.750Z,40.3268333,-124.2253333,26.09,2.49,md,32,88,0.04534,0.14,nc,nc73918546,2023-10-07T21:38:55.040Z,"5 km E of Petrolia, CA",earthquake,0.33,0.5,0.209,44,reviewed,nc,nc
2023-07-31T02:24:56.644Z,39.9998,-117.8643,2,2.6,ml,6,131.01,0.259,0.2507,nn,nn00863761,2024-01-18T20:36:03.873Z,"55 km ESE of Lovelock, Nevada",earthquake,,1.9,0.14,3,reviewed,nn,nn
2023-07-31T01:58:06.800Z,37.0353333,-121.4855,4.68,1.9,md,66,46,0.009931,0.13,nc,nc73918536,2023-08-01T02:49:14.061Z,"8 km ENE of Gilroy, CA",earthquake,0.16,0.35,0.216,58,reviewed,nc,nc
2023-07-31T01:03:43.125Z,37.2486,-104.8927,5,2.2,ml,15,79,0.154,0.6,us,us7000ksjy,2023-10-07T21:39:02.040Z,"13 km NNW of Weston, Colorado",earthquake,1.85,1.791,0.105,12,reviewed,us,us
